feature,d,p_raw,ci_excl0,p_FDR,gate
sp_e_lf_V1,2.200334651361354,3.0587147131411954e-09,True,1.490353611906381e-08,True
iqr_V1,2.183232815087805,3.87862199909335e-09,True,1.8464784074372276e-08,True
mad_V1,2.0744797432146695,7.511009166930646e-07,True,2.185568198473607e-06,True
absmean_V1,1.9040436850875229,2.4968475634090826e-10,True,1.485828959864749e-09,True
spf_2_5_V3,1.8105925209750504,2.698123898081312e-17,True,5.5966798571629494e-15,True
p25_V2,-1.8049316870789962,2.658708235108622e-09,True,1.3357938952864079e-08,True
p75_V1,1.7967914872978419,0.0003597679321855487,True,0.0006757865944804872,True
p25_V1,-1.7441913275966916,0.0037820049103199412,True,0.006128874028777404,True
spf_2_5_V4,1.7191982484071828,1.5917041565948833e-17,True,3.851924058959618e-15,True
p25_V3,-1.7116297531443474,1.2067798250162062e-07,True,4.074986757961701e-07,True
spf_2_5_V2,1.6941958293732446,5.567568413372127e-16,True,3.674595152825604e-14,True
sp_rel_lf_V3,1.686845866436734,4.5350020392945866e-20,True,3.2924114805278695e-17,True
sp_rel_lf_V4,1.639655888556831,4.0937860058047525e-20,True,3.2924114805278695e-17,True
spf_2_5_V5,1.5972496946940924,1.108015267163613e-15,True,4.88175846366137e-14,True
p95_V1,1.5927468410844063,4.2029924703974365e-12,True,4.2087897013910885e-11,True
p05_V1,-1.579867650824481,1.1432001665312805e-06,True,3.2044915864930877e-06,True
mad_V2,1.5636041162438061,6.32102981505644e-05,True,0.0001327536543695884,True
iqr_V2,1.5348112435427752,0.00011240889834243302,True,0.00022763977739639156,True
sp_e_lf_V2,1.5277111199895894,1.9564386484178445e-09,True,1.018189576165846e-08,True
std_V1,1.5082398542908777,6.920570479645578e-09,True,3.091897949675501e-08,True
rms_V1,1.5077675502468468,6.964502163161083e-09,True,3.101980718070519e-08,True
spf_2_5_V6,1.502780209412002,1.1204206771460265e-13,True,1.8279222732764386e-12,True
sp_rel_lf_V5,1.481294349976882,6.012598013356126e-17,True,7.936629377630087e-15,True
sp_e_lf_I,1.4406697973478455,7.425270186114569e-10,True,4.1951331946452736e-09,True
spf_2_5_AVL,1.4213568999103314,1.0827391985743485e-15,True,4.88175846366137e-14,True
sp_bw_I,-1.3796173656989552,3.3228523525118997e-17,True,6.030977019809098e-15,True
sp_e_lf_V3,1.3727552629891848,2.858158304884739e-09,True,1.4067952063364886e-08,True
sp_rel_lf_V2,1.348712936961651,4.486868819126918e-14,True,8.043127809101586e-13,True
hj2_complexity_V2,1.337053936392237,1.8392189977619233e-09,True,9.675891249095335e-09,True
sp_edge95_I,-1.3241681949511366,2.1262030781222487e-15,True,7.718117173583763e-14,True
sp_roll90_I,-1.3111980372142558,4.064786621456969e-15,True,1.229597952990733e-13,True
spf_2_5_V1,1.3059681367151283,7.4207400477277015e-09,True,3.285034923567263e-08,True
spf_15_18_V5,-1.284086349018399,1.2494680280134044e-15,True,5.039521046320731e-14,True
sp_rel_delta_hf_V5,-1.275579680948985,1.2437344154443371e-16,True,1.2039349141501184e-14,True
sp_log_lf_AVL,1.2728952371916864,1.1095974863892352e-16,True,1.1508111073122639e-14,True
spf_2_5_I,1.2610505942001844,1.822862395165919e-11,True,1.5211472401039737e-10,True
spf_15_18_V4,-1.260225074194689,2.5013603599396214e-15,True,8.446454052633326e-14,True
absmean_V2,1.2498403174791333,2.3722910692707387e-06,True,6.343584958712915e-06,True
dabs_mean_V1,1.2489470879267643,5.184633142022915e-05,True,0.0001102016403827708,True
mad_V3,1.246737812978859,0.008706549275140113,True,0.01340605466331224,True
spf_18_20_V4,-1.2357013343335783,8.364801232889031e-16,True,4.188169444880991e-14,True
sp_rel_delta_hf_V4,-1.2350257196120846,1.2965269633407196e-15,True,5.087992299380337e-14,True
spf_18_20_V5,-1.231770718892476,8.199447907965327e-16,True,4.188169444880991e-14,True
sp_bw_AVL,-1.2210846008768372,6.2370121894008676e-15,True,1.7087059809452943e-13,True
std_AVL,1.2209876746069943,3.068653240323842e-14,True,6.078899569000495e-13,True
rms_AVL,1.2204142156361821,3.098061763815679e-14,True,6.078899569000495e-13,True
p95_I,1.2188522710455274,3.5381273161834567e-07,True,1.0977266801492263e-06,True
absmean_AVL,1.2177314771569296,1.3910828280259162e-13,True,2.2196178750479455e-12,True
sp_rel_lf_V6,1.2108043718365376,8.813361740609392e-15,True,2.1689832622652266e-13,True
p25_V4,-1.209190829183967,4.146790953576025e-07,True,1.2642055548586713e-06,True
sp_entropy_V1,-1.208351902194576,1.107653501120088e-09,True,6.046289036189353e-09,True
hj2_complexity_I,1.2063499267671556,2.560460656073422e-13,True,3.644891051586871e-12,True
iqr_V3,1.2029487377416546,0.007535887614212076,True,0.01176570840412466,True
sp_ratio_d1540_V5,-1.202933683143568,3.7219475301837324e-16,True,2.7021339069133895e-14,True
