feature,d,p_raw,ci_excl0,p_FDR,gate
sp_e_lf_AVL,2.659769390048697,3.0742676893703403e-13,True,2.7898979281035837e-12,True
sp_e_tot_AVL,2.5253094252479396,8.202047290638004e-14,True,8.756891666181164e-13,True
sp_e_vlf_AVL,2.4545341119721735,1.2892021895414258e-13,True,1.2821380679548974e-12,True
sp_e_lf_III,2.0122658985246895,4.595803989910706e-15,True,7.583076583352665e-14,True
sp_e_tot_III,1.9986479682657714,5.186308962864446e-15,True,8.36724512675464e-14,True
p95_AVL,1.9660738366251977,3.355882411459707e-12,True,2.3769469567997532e-11,True
sp_e_vlf_III,1.9469177057738063,2.640296831221912e-16,True,7.233416979121163e-15,True
std_AVL,1.9293762020905263,1.0028925032323525e-13,True,1.0112499407592888e-12,True
rms_AVL,1.9292706644802893,1.0026922000597885e-13,True,1.0112499407592888e-12,True
absmean_AVL,1.8993117388050882,5.977290153877513e-13,True,5.228328496042258e-12,True
sp_rel_lf_V3,1.8646394661453476,2.8001566442383393e-21,True,1.3552758158113561e-18,True
sp_rel_lf_V4,1.863798538860257,9.122938303519303e-25,True,1.3246506416710028e-21,True
p05_III,-1.8209503928353254,7.557097900041066e-12,True,4.898618817348048e-11,True
absmean_III,1.8079996957826987,2.2940352794244194e-14,True,2.871499332520911e-13,True
std_III,1.7987922433096701,9.119719350584508e-15,True,1.245293328600886e-13,True
rms_III,1.79858713018522,9.176748358147024e-15,True,1.245293328600886e-13,True
sp_e_vlf_I,1.7716614356006128,8.058082390827162e-18,True,7.31270976967565e-16,True
p05_AVL,-1.6360597075417027,2.6493526354732202e-12,True,1.962683687095467e-11,True
p95_I,1.6224643773610923,7.54778873412174e-13,True,6.408999556692846e-12,True
spf_2_5_V4,1.587859315258275,2.5931055677519997e-21,True,1.3552758158113561e-18,True
p95_III,1.5606510064975896,1.84756267998583e-13,True,1.7533732100257682e-12,True
max_AVL,1.5556367197510368,1.6911653382893388e-12,True,1.3061553570192126e-11,True
absmax_AVL,1.5189956799620308,1.546410169632395e-12,True,1.2137230088141825e-11,True
p05_AVF,-1.4982214450547604,4.037515321409546e-14,True,4.702361001536582e-13,True
min_III,-1.489383338153157,6.971204699474941e-10,True,3.07665325946432e-09,True
p25_AVL,-1.4852531639685806,1.4063225571494867e-10,True,7.164843343793173e-10,True
rms_I,1.4591085499686558,1.4619501595911008e-15,True,3.044593175273182e-14,True
std_I,1.459060741794919,1.4532255674075368e-15,True,3.044593175273182e-14,True
sp_rel_lf_V2,1.4416572809512425,1.0621410735441767e-15,True,2.5282439980100728e-14,True
p75_III,1.4408414550427033,6.976244540264068e-09,True,2.4646002609400063e-08,True
spf_5_8_V3,1.4131693022207286,1.0452281439263177e-14,True,1.3797011499827392e-13,True
hj2_complexity_AVF,1.4103762000044977,6.807733912257156e-13,True,5.883827167022256e-12,True
absmean_I,1.3919537285443666,6.056609573272615e-14,True,6.764767000301413e-13,True
absmax_III,1.3889914950037783,2.237626570902918e-12,True,1.6834371922026096e-11,True
sp_log_lf_III,1.3689352097274798,4.595803989910706e-15,True,7.583076583352665e-14,True
spf_5_8_V4,1.3521938354427885,4.5629634679611754e-17,True,1.956108978601885e-15,True
sp_log_lf_I,1.3502248969380177,1.5306838966593823e-15,True,3.044593175273182e-14,True
skew_V2,1.3466438942871377,7.309846337457551e-14,True,7.862145838509899e-13,True
hj_abs_mobility_I,-1.3368477181489569,1.0717412158511373e-17,True,8.645379141199174e-16,True
hj2_mobility_I,-1.3260795473072668,6.289171131533616e-15,True,9.512371336444593e-14,True
hj2_complexity_V4,1.320464829336284,8.625183527763099e-18,True,7.366921460183541e-16,True
sp_e_mf_AVL,1.309639020262288,1.363564477850908e-12,True,1.0819101758685892e-11,True
sp_bw_I,-1.308513517569112,4.5804204733102e-17,True,1.956108978601885e-15,True
sp_log_lf_AVL,1.29658413346168,3.0742676893703403e-13,True,2.7898979281035837e-12,True
