feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
swtdb4_D6_I_qrspolsigned,-2.1547432003337197,-2.195649026286643,-1.686007916119069,5.834246176633505e-26,True,True,1.2583865460290543e-24,True
dwtdb4_D6_AVL_p95,2.152211326492224,2.3631152468311307,1.6669740566889861,2.0691557026810104e-31,True,True,1.816500901090487e-29,True
swtdb4_D6_AVL_p95,2.1075006546090935,2.3756952759261836,1.5621120368661257,5.403030124437617e-32,True,True,6.759190685671458e-30,True
dwtdb4_D6_I_p95,2.059136991366557,2.0649732184895684,1.806785780168797,2.256037114789445e-28,True,True,8.189206446462463e-27,True
swtdb4_D6_I_p95,2.0277110828557414,2.075285693575708,1.7184484064404637,1.5150404771658664e-27,True,True,4.2353422054402207e-26,True
swtdb4_D6_AVL_qrspolsigned,-2.0150597730941016,-2.345590944767203,-1.0833759445877529,3.093931467002081e-19,True,True,3.0120686888868507e-18,True
swtsym4_D6_AVL_p95,2.0056454566337623,2.1743765358306244,1.5804925407990147,5.337642193285306e-31,True,True,3.986501721671593e-29,True
swtcoif3_D6_AVL_p95,1.9202252804650335,2.087412817980018,1.5037009573827276,2.1002627470201334e-30,True,True,1.3303436438087022e-28,True
swtdb4_A6_AVL_p95,1.9024402945868677,2.3037774054022644,1.3059436574576617,6.34383812959743e-30,True,True,3.174456600050554e-28,True
swtsym4_A6_AVL_p95,1.8944555050047998,2.2933569270486593,1.3010077654153414,7.910564827937199e-30,True,True,3.8061986922113213e-28,True
swtsym4_D6_I_p95,1.8914151063006976,1.917912986267063,1.6242440318546185,1.3322045181141255e-26,True,True,3.31659274061845e-25,True
dwtdb4_A6_AVL_p95,1.8820826134267397,2.2924413828137005,1.264559351828735,5.116342926225562e-31,True,True,3.8791181822473806e-29,True
swtcoif3_A6_AVL_p95,1.8819400793919723,2.272012842315408,1.3005205406034304,8.675902095444262e-30,True,True,4.095680574113499e-28,True
swtsym4_D6_AVL_std,1.8751260168180617,2.0023686953701345,1.5152422652870847,3.775460829805391e-30,True,True,2.076088570587492e-28,True
swtdb4_D6_AVL_std,1.8751260168180142,2.0023686953700923,1.515242265287007,3.775460829805391e-30,True,True,2.076088570587492e-28,True
dwtdb4_D6_AVL_std,1.8741482989584615,1.9608737154236302,1.5562512302678315,4.7096738507195415e-30,True,True,2.5341083816129665e-28,True
swtcoif3_D6_AVL_std,1.866528012024775,1.9980951253399681,1.4985436153804235,5.486197856332473e-30,True,True,2.773023643746232e-28,True
swtcoif3_D6_AVL_p99,1.8492158252718305,1.939926542466859,1.4584335468788603,5.039585237920261e-30,True,True,2.65453521374242e-28,True
swtsym4_D6_AVL_p99,1.832907483929141,1.9130101137156634,1.4576430850506965,4.981956014419417e-30,True,True,2.6520965846973154e-28,True
swtdb4_A6_I_p95,1.821342524427146,2.1230448980734016,1.3310858168359399,1.6947281978634706e-27,True,True,4.7113443900604483e-26,True
dwtdb4_A6_I_p95,1.8124958331749617,2.0887894964935136,1.320490200379115,2.0522509753487134e-27,True,True,5.631755313144522e-26,True
dwtdb4_D6_AVL_p99,1.8106502067997685,1.9180525349229203,1.407021105823241,3.749076795924494e-30,True,True,2.076088570587492e-28,True
swtsym4_A6_I_p95,1.8015457102741173,2.091150949597771,1.3234462349170977,6.3456713906450046e-27,True,True,1.6580671766480236e-25,True
swtcoif3_A6_I_p95,1.7936848976710298,2.0793121339891663,1.3221349414455932,2.585237268141008e-27,True,True,6.992717453933839e-26,True
swtdb4_D6_AVL_p99,1.790321141367301,1.8991931000225306,1.3925657744717195,1.2655704018296135e-29,True,True,5.810013110784758e-28,True
swtcoif3_D6_I_p95,1.7809597247039186,1.7735387975874308,1.5550831727208911,2.1447496990985642e-25,True,True,4.159816858251634e-24,True
swtcoif3_D6_I_p99,1.7516865653072209,1.689512543600502,1.541948963318117,1.79928651662152e-25,True,True,3.6014518916696345e-24,True
swtsym4_D6_I_std,1.7363608034423268,1.706442636003598,1.545292854089388,1.144980241495725e-25,True,True,2.3578111639689743e-24,True
swtdb4_D6_I_std,1.7363608034422569,1.7064426360035578,1.5452928540892858,1.144980241495725e-25,True,True,2.3578111639689743e-24,True
swtcoif3_A6_AVL_std,1.7362318568332988,2.0252002039907295,1.2966124278278714,2.2221476879231162e-28,True,True,8.17619634585829e-27,True
dwtdb4_D6_I_std,1.7311257700920195,1.6689196238974915,1.5803481138372795,2.019201841090381e-26,True,True,4.78866635678496e-25,True
swtsym4_A6_AVL_std,1.7307240772397987,2.022275861997373,1.2886259111263352,2.5550096990652798e-28,True,True,8.831791102577926e-27,True
swtdb4_A6_AVL_std,1.7307240772396983,2.022275861997328,1.288625911126208,2.5550096990652798e-28,True,True,8.831791102577926e-27,True
swtcoif3_D6_I_std,1.7273243231975879,1.7012884249220992,1.5309434412204115,2.140941493314006e-25,True,True,4.159816858251634e-24,True
dwtdb4_A6_AVL_std,1.7261514065640884,2.023078389392882,1.2813156619598156,1.5724183077358016e-28,True,True,6.0643572669226775e-27,True
swtsym4_D6_I_p99,1.7232768625160197,1.6605340871887944,1.5173717785009198,2.9422102707629643e-25,True,True,5.514164867002949e-24,True
dwtdb4_D6_III_p95,1.7185223385562645,2.1736273732831615,1.120169977014389,1.1625049082915662e-25,True,True,2.3840879348733596e-24,True
dwtdb4_D6_I_p99,1.6977077799542324,1.6135562209830456,1.5241327940522147,2.3783511861488306e-26,True,True,5.385189744565045e-25,True
swtdb4_D6_III_p95,1.6871857305949511,2.175116509841261,1.0589477354818992,1.3636706516010253e-26,True,True,3.3621629718659975e-25,True
swtdb4_D6_I_p99,1.6851555102798301,1.6303662801199605,1.4732379834354987,3.4262197379554015e-25,True,True,6.373532925178003e-24,True
swtsym4_D6_III_p95,1.6072959179019188,1.9888426813373135,1.0919385624888955,1.725562968608236e-25,True,True,3.467757869444021e-24,True
dwtdb4_D6_AVL_maxabs,1.605682330398724,1.607593980763444,1.3060805569529048,2.5092532105051545e-29,True,True,1.0918524404667646e-27,True
wptdb4_b1_AVL_maxabs,1.605682330398724,1.607593980763444,1.3060805569529048,2.5092532105051545e-29,True,True,1.0918524404667646e-27,True
swtcoif3_D6_AVL_maxabs,1.6029960222001045,1.6491923056900248,1.2816739165526205,5.550018031386351e-29,True,True,2.2952305974427523e-27,True
swtcoif3_A6_I_std,1.5968519527901703,1.7836050261926149,1.2593853693388588,1.5680412990752438e-26,True,True,3.846313068908098e-25,True
swtsym4_A6_I_std,1.591403225856114,1.7802898029746874,1.2521618103159748,2.2124547436950922e-26,True,True,5.1734222137617945e-25,True
swtdb4_A6_I_std,1.5914032258559532,1.7802898029746377,1.2521618103157597,2.2124547436950922e-26,True,True,5.1734222137617945e-25,True
dwtdb4_A6_I_std,1.5860830425740389,1.780435205168092,1.2423332640017932,2.5448595233627988e-26,True,True,5.736250925633984e-25,True
swtsym4_D6_V3_relenergy,1.5728116306045705,1.8132157244745046,1.3229916578170096,9.746728521406036e-36,True,True,2.8689782071244592e-33,True
swtdb4_D6_V3_relenergy,1.5728116306045126,1.8132157244747256,1.3229916578166987,9.746728521406036e-36,True,True,2.8689782071244592e-33,True
swtdb4_D6_III_qrspolsigned,1.563764723008091,2.124935959827392,0.5343443551163255,1.2007212309665294e-11,True,True,5.472139380470413e-11,True
swtdb4_A6_III_p95,1.5593096713849692,2.0862120872410985,0.9589306641974458,2.4921387655266562e-29,True,True,1.0918524404667646e-27,True
swtsym4_D6_AVL_maxabs,1.557578839712487,1.5808353655848986,1.262193537658883,1.3143141413867841e-28,True,True,5.178604695668872e-27,True
swtcoif3_D6_V3_relenergy,1.5572019000882873,1.7966267540271372,1.303624523627692,5.677655010326237e-35,True,True,1.352904079603452e-32,True
swtsym4_A6_III_p95,1.556515973372721,2.079997355641906,0.9561178089121498,3.7316767980286177e-29,True,True,1.5960094613107011e-27,True
dwtdb4_A6_III_p95,1.5521210964389098,2.083076476299544,0.9412529746240481,1.1034093064727173e-29,True,True,5.112463119990256e-28,True
swtcoif3_A6_III_p95,1.5438300259714868,2.0579516468111567,0.954826064154631,4.398129617095296e-29,True,True,1.8494319835247784e-27,True
swtcoif3_D6_I_maxabs,1.535469753279784,1.4424784228033138,1.3731586624092311,1.4402188759188506e-24,True,True,2.4265505909420635e-23,True
swtcoif3_D6_III_p95,1.5307292714778706,1.8982396701922521,1.0337775971315777,6.726339989523055e-25,True,True,1.21074119811415e-23,True
swtcoif3_D6_AVL_energy,1.5249970968572566,1.580850327335744,1.092015816209789,5.486197856332473e-30,True,True,2.773023643746232e-28,True
wptdb4_b1_I_maxabs,1.5213772355977608,1.3778403991738577,1.4229200141016085,2.6231022170666844e-25,True,True,4.9532088657364864e-24,True
dwtdb4_D6_I_maxabs,1.5213772355977608,1.3778403991738577,1.4229200141016085,2.6231022170666844e-25,True,True,4.9532088657364864e-24,True
swtsym4_D6_V4_relenergy,1.50190653007443,1.7637039159589967,1.2336887013993858,5.961184128488292e-40,True,True,1.4914882689477707e-36,True
swtdb4_D6_V4_relenergy,1.5019065300740315,1.7637039159585477,1.2336887013989457,5.961184128488292e-40,True,True,1.4914882689477707e-36,True
dwtdb4_D6_V3_relenergy,1.4988812243616252,1.5367062045162987,1.4090204360070535,4.078452086776114e-34,True,True,7.924203628243179e-32,True
wptdb4_b1_V3_relenergy,1.4985566761867173,1.5365383536114134,1.408641153427175,4.117292053044018e-34,True,True,7.924203628243179e-32,True
dwtdb4_D6_III_std,1.4976453356142798,1.8130459179171705,1.0846853160150527,8.744359760354208e-25,True,True,1.517007495525505e-23,True
swtdb4_D6_AVL_energy,1.4920277515082068,1.5473372794915075,1.0771866557079952,3.775460829805391e-30,True,True,2.076088570587492e-28,True
swtsym4_D6_AVL_energy,1.4920277515078844,1.5473372794911568,1.077186655707837,3.775460829805391e-30,True,True,2.076088570587492e-28,True
swtdb4_D6_AVL_maxabs,1.4915839405648061,1.5014211466613296,1.2081226100558389,4.125819283045473e-28,True,True,1.331974173700616e-26,True
swtsym4_D6_III_std,1.4876135139323783,1.827287570763085,1.0521766545734954,8.79161018589921e-25,True,True,1.517007495525505e-23,True
swtdb4_D6_III_std,1.4876135139322806,1.827287570763008,1.0521766545733535,8.79161018589921e-25,True,True,1.517007495525505e-23,True
swtdb4_D5_I_qrson2mid,1.4785336066731511,1.5338024201837785,1.148446374620244,3.4238444048051936e-28,True,True,1.1271656185292886e-26,True
swtsym4_D6_I_maxabs,1.4776730016095432,1.375905500237682,1.3289513140796176,3.6103677147404415e-24,True,True,5.790474373256785e-23,True
swtcoif3_D6_V4_relenergy,1.477140115445199,1.7344126383436838,1.2028833330304978,1.221347373954635e-38,True,True,1.8428852275490568e-35,True
swtcoif3_D6_III_std,1.4732669776700698,1.8195521469286189,1.0284478243151118,1.4165182209108828e-24,True,True,2.3946814788642087e-23,True
swtcoif3_A6_III_std,1.4718528999782128,1.909753707265706,1.0082659892281851,8.73944867266885e-28,True,True,2.666597631587495e-26,True
swtsym4_A6_III_std,1.466407325226189,1.9072615471882595,1.0004295111192782,9.630607366585457e-28,True,True,2.868545194190097e-26,True
swtdb4_A6_III_std,1.4664073252261272,1.9072615471882255,1.000429511119203,9.630607366585457e-28,True,True,2.868545194190097e-26,True
dwtdb4_A6_III_std,1.4605292146199798,1.9033979505194638,0.9946609586264685,1.1885350123020864e-27,True,True,3.3985309723197944e-26,True
swtcoif3_D6_III_p99,1.4583127380756413,1.7559208125081336,0.9681174666510898,2.1270682414042458e-24,True,True,3.512821610556715e-23,True
swtsym4_cohD5D4_V4,1.4551854334321819,1.3565386554589565,1.4144543633018771,3.924522939887679e-34,True,True,7.924203628243179e-32,True
swtsym4_D6_III_p99,1.445972668473289,1.731994329480845,0.971066462871202,2.5080341925629676e-24,True,True,4.088014038952798e-23,True
dwtdb4_D6_III_p99,1.4388210037646343,1.7550758748439166,0.9354741217582778,3.8869379139340484e-24,True,True,6.214133329497118e-23,True
dwtdb4_D6_V4_relenergy,1.4186615434798586,1.5992618063793675,1.1903967084669755,5.7334212318369293e-36,True,True,1.9513427676210988e-33,True
wptdb4_b1_V4_relenergy,1.418102335422681,1.5987533544578618,1.1898844590970121,5.849348823804253e-36,True,True,1.9513427676210988e-33,True
swtdb4_D6_AVL_qrsmax,1.416134738391512,1.4337158734050566,1.1243392247729243,1.840617480687082e-28,True,True,6.822555461746784e-27,True
dwtdb4_A6_AVL_p99,1.4127700922017423,1.6542787488055428,1.0055368222449548,8.56923589267209e-27,True,True,2.198997764458007e-25,True
swtcoif3_A6_AVL_logenergy,1.4061982348728137,1.441590552959394,1.2954754589468953,2.274779568461795e-28,True,True,8.189206446462463e-27,True
swtdb4_D6_III_p99,1.404525946667971,1.699002256803976,0.9284349493931473,2.9307639037442416e-24,True,True,4.730820185269737e-23,True
swtsym4_A6_AVL_logenergy,1.403600251956568,1.4400221611706558,1.2919760542049574,2.6121204699870765e-28,True,True,8.831791102577926e-27,True
swtdb4_A6_AVL_logenergy,1.4036002519565347,1.4400221611706676,1.291976054204898,2.6121204699870765e-28,True,True,8.831791102577926e-27,True
dwtdb4_A6_AVL_logenergy,1.4024591005178395,1.4412715706367936,1.2886385278906152,1.6118295693459553e-28,True,True,6.0643572669226775e-27,True
swtsym4_cohD5D4_I,1.3955854226621953,1.3081923793260246,1.341068035094884,8.400424849273853e-30,True,True,4.0034024710253677e-28,True
swtdb4_D6_I_maxabs,1.3935522987800109,1.2728471973712825,1.273436742580867,7.213842036556744e-24,True,True,1.1351592940544009e-22,True
swtdb4_cohD5D4_V4,1.3860070204064128,1.288344679508304,1.345470576613087,1.0533884303023417e-31,True,True,1.0798255439607145e-29,True
