feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
med_V3_on0_slope,2.3378819315862223,3.0470260970533976,1.10549719854391,9.079421217089368e-38,True,True,3.3619799706708063e-35,True
med_V3_PR_slope,2.1255930862789727,2.874611531672101,0.9790020518813433,5.5615208602072885e-34,True,True,8.008590038698496e-32,True
ext_V6_on0_slope,1.9627555258031433,2.3189528418921275,0.04320826143784407,2.417489390158558e-28,True,False,1.5665331248227458e-26,False
ext_V6_vel14,1.9257151281318785,2.273825106031227,0.025793884330405796,3.609002310325461e-28,True,False,2.201066820791434e-26,False
ext_V6_vel13,1.922107030327063,2.330185690838403,0.01855722847025356,1.2897126610690177e-24,True,False,5.813800378245033e-23,False
med_V1_on0_slur,1.8243632367017175,1.5310096830007323,2.0614857120423307,1.579074643000943e-37,True,True,4.815248793715817e-35,True
ext_V6_vel8,-1.7544631312297327,-2.1185719879309004,0.004577705961844891,0.006075007546625853,False,False,0.014341001421543,False
ext_V6_PR_max,1.7437696029576744,2.1048766380116626,0.017287778982482623,1.298174422565821e-25,False,False,6.348807742057751e-24,False
ext_V6_amp15,1.735253954846618,2.1562769292245307,0.026485086571945135,3.9172084886226817e-26,True,False,1.9908636083352924e-24,False
ext_V6_acc12,-1.7006538076696782,-2.180781221705462,-0.024893767657849074,0.17947647922426624,False,False,0.2656026458174697,False
ext_V6_acc5,1.692092421173603,2.2975897738553206,0.027910445845985208,0.22213878076036175,False,False,0.3175861664262866,False
ext_V6_vel20,1.688304413902598,2.045690600965727,0.027207288703172676,0.015854424618554724,False,False,0.03343748463083307,False
ext_V6_acc11,1.642871813062466,2.048854579029003,-0.009975968109279245,0.0009627855644713343,False,False,0.0027836477223755697,False
ext_V6_amp19,-1.6342786244503174,-2.185127363487538,0.010239961139438333,9.23226254752496e-07,False,False,4.5193625161821894e-06,False
ext_V6_vel18,-1.6338344497719692,-2.2328067089048798,0.015528824147414648,0.0008658582398463809,False,False,0.0025316464271650527,False
ext_V6_PR_slope,1.62044898131721,2.1065618882196473,0.03150888265390432,1.3308949983959258e-22,True,False,5.036028957433927e-21,False
med_V3_amp15,1.585256648488549,2.333636542225678,0.6752422698312484,8.46560059377871e-34,True,True,1.1548861441618114e-31,True
med_V3_PR_max,1.5834173438865773,2.2981724225237654,0.6903104896798653,1.2634467268167636e-31,True,True,1.2842564376113926e-29,True
ext_V6_acc8,1.5605419266310439,2.1220453372368153,0.007126775077925543,0.0002053154088794937,False,False,0.0006835935000843259,False
med_V2_on0_slur,1.5256051797343386,1.36385622248065,1.5962473363589882,3.139726024078975e-39,True,True,2.379620600698955e-36,True
ext_V1_on0_slur,1.5178381170324236,1.3557434314878776,1.6296232880670625,2.624660361315255e-34,True,True,3.8874969465880807e-32,True
ext_V6_bodyQRS_min,-1.4990986558803032,-2.1423060260440203,0.015649602503920675,6.879203723674764e-07,False,False,3.4191555228696047e-06,False
ext_V6_bodyQRS_rms,1.4824519497472195,2.0837797763512347,-0.012188039580842216,0.002446193698974481,False,False,0.006433824523330142,False
ext_V6_bodyQRS_area,-1.48054224269313,-2.094152914389692,0.01580021966307391,3.701610558116083e-08,False,False,2.249607166855073e-07,False
med_AVR_on0_slur,1.4439659968581404,1.4340981015567331,1.3619429584389675,1.4304503518248259e-41,True,True,2.471818207953299e-38,True
