feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
med_V3_on0_slope,2.5400827569777693,3.4306512332252628,1.1630200112770064,6.45238606409024e-38,True,True,2.328701891141849e-35,True
med_V3_PR_slope,2.306461709423099,3.1202575239408867,1.0628747045786957,3.662233914081164e-34,True,True,5.583829591351987e-32,True
med_V1_on0_slur,2.260680330042272,2.0942332166642923,2.3994078138507624,7.680307018128138e-38,True,True,2.488419473873517e-35,True
med_V2_on0_slur,2.0476822462439723,2.0032252237816617,2.0397067862964593,1.4455229350761073e-40,True,True,1.2489318159057568e-37,True
ext_V6_on0_slope,1.9654482545569647,2.3201504494914125,0.04413234025293154,8.755109508352759e-29,True,False,5.8187804732436804e-27,False
ext_V6_vel14,1.928678931454825,2.275072427399591,0.026138300224115105,1.2862602587896782e-27,True,False,7.408859090628546e-26,False
ext_V6_vel13,1.9247023758722652,2.3314827073586426,0.01870582950495489,3.5726777563907136e-25,True,False,1.6390054415158814e-23,False
ext_V1_on0_slur,1.8209921591123739,1.6890088586584557,1.9165520568516847,2.3222479087949043e-35,True,True,4.0128443863975946e-33,True
med_AVR_on0_slur,1.7877141208029759,1.8410415424506716,1.6474590360945092,2.967789498586801e-42,True,True,5.128340253557992e-39,True
ext_V6_vel8,-1.7565807515864789,-2.119914381839991,0.0053563643823826695,0.0022984773896855028,False,False,0.006057603857717157,False
ext_V6_PR_max,1.7459397213806112,2.105573356421969,0.01777890450037889,9.821909355116188e-26,False,False,4.714516490455771e-24,False
ext_V6_amp15,1.7389584766779598,2.156025115331497,0.02724313270507458,1.27647250390105e-25,True,False,6.0156667820209484e-24,False
med_V2_on0_slope,1.7307209388395175,2.6566825573478443,0.9010633545983047,8.050187573433492e-34,True,True,1.070055702068698e-31,True
ext_V6_acc12,-1.702837600698013,-2.1816212171233103,-0.024929626880686798,0.15204585216404398,False,False,0.23189340912574405,False
ext_V6_vel20,1.696524457418589,2.0470302058541012,0.02999493312896452,0.026713192911889453,False,False,0.05163355408472592,False
ext_V6_acc5,1.6939116564522814,2.297433738575329,0.02767044791506214,0.1977868303590884,False,False,0.2885729821386434,False
med_V3_on0_slur,1.6832619728710219,1.9214794403793414,1.4532295206645474,4.870952202960351e-41,True,True,5.050203244029292e-38,True
med_V3_PR_max,1.6783982558970696,2.416520022512974,0.7433929052424322,3.319173235467072e-32,True,True,3.511549806665571e-30,True
ext_V6_acc11,1.6463273782718415,2.0503937142914115,-0.008984470901759021,0.0008758923838273479,False,False,0.002560984837992652,False
ext_V6_amp19,-1.6439996619685877,-2.1874052783236215,0.009408755623805802,6.40907964946853e-07,False,False,3.1854907864664294e-06,False
med_V2_PR_slope,1.6434446108184293,2.598827261962424,0.8704062358164888,2.301431269521376e-30,True,True,1.8937491589204466e-28,True
ext_V6_vel18,-1.6393413966697004,-2.2347918031996836,0.014775895552223512,0.0005765060716062303,False,False,0.0017569708848951782,False
med_I_on0_slur,1.635712179800019,1.6800772594693332,1.6303884413572869,2.5497565172844723e-39,True,True,1.6522422232003382e-36,True
ext_V6_PR_slope,1.622589399419396,2.1075890950241774,0.032332378296161236,4.1002799106944564e-23,True,False,1.6477403920186094e-21,False
med_V3_amp15,1.620051801581476,2.4191990927065485,0.6873166674824124,6.242822571171347e-34,True,True,8.746700597014126e-32,True
ext_V2_on0_slur,1.5756261994622713,1.5902116037552212,1.4874614914335804,2.2905563787024256e-35,True,True,4.0128443863975946e-33,True
ext_V6_acc8,1.5631262702443796,2.1234205193855598,0.006967511244188489,0.00044076860243657113,False,False,0.0013690499910312673,False
med_II_on0_slur,1.5172383294762894,1.7047505743453661,1.3048512782124877,8.229315034439917e-42,True,True,1.0665192284634133e-38,True
ext_V6_bodyQRS_min,-1.5056442917965773,-2.1442408321556568,0.015333258583333642,3.2403625682844397e-07,False,False,1.6950594908159975e-06,False
ext_V6_bodyQRS_rms,1.490145738390178,2.085936887192895,-0.011976757475755195,0.0030801246266957574,False,False,0.00787345466705661,False
ext_V6_bodyQRS_area,-1.488922415182495,-2.096455086637835,0.015129309749578043,1.9006916475125753e-08,False,False,1.1885627865748119e-07,False
med_AVF_on0_slur,1.4703040571285564,1.720700851735081,1.2568055575496346,1.579024188390429e-37,True,True,4.815094936832932e-35,True
med_V4_on0_slur,1.45663792576054,1.9652851148173909,0.9674528593336521,5.754634864631102e-39,True,True,2.9832027138247634e-36,True
ext_V3_on0_slur,1.4552551228841288,1.5956128511839194,1.2624859835540163,6.699576435788862e-38,True,True,2.328701891141849e-35,True
med_V3_on1_signed,1.446260549830977,2.182809455952175,0.6217382504708073,5.662193125667833e-29,True,True,3.86221173203448e-27,True
ext_V6_vel11,-1.4450515894035836,-2.046489072521438,0.0015871985903645003,0.32499188303029003,False,False,0.4285825290330764,False
med_V3_vel13,1.4443459961851002,2.566528620142329,0.6709908540639415,9.109901066712097e-28,True,True,5.306261475262417e-26,True
med_III_on0_slur,1.4313752486409799,1.6773617665297211,1.2993386622792311,3.693698789564855e-31,True,True,3.4814790045644015e-29,True
med_AVL_on0_slur,1.4273714518668135,1.5639554172419925,1.4125751310488717,1.3809023665862306e-32,True,True,1.5231059294431956e-30,True
med_V3_vel14,1.418961768532722,2.1717591819365336,0.4567387210292481,1.9968099939479008e-23,True,True,8.215446832242792e-22,True
ext_V6_vel19,1.4145179793293428,1.9031093335197016,-0.023567919151622225,0.005046726712644966,False,False,0.012168479664349537,False
ext_V6_vel4,1.4025734747816372,2.249928418097999,-0.028154925236453222,0.8610258030147071,False,False,0.9052266238686785,False
med_I_qrswidth_ms,1.3415690553607833,1.0191478446011975,1.5805957705630378,2.3911040582671276e-24,True,True,1.0416372637022511e-22,True
med_V2_on1_slur,1.340969911996777,1.0393209099600063,1.5668490817196563,1.2538440308431849e-24,True,True,5.60338573783713e-23,True
ext_V6_amp14,1.3283726714507695,2.234691199254968,0.030577716299443114,6.552913594892121e-27,True,False,3.5385733412417455e-25,False
ext_V6_acc7,1.3183930735970246,1.7204736901229676,0.002241927842975333,3.5291706751135818e-09,False,False,2.4296441938630557e-08,False
ext_AVR_on0_slur,1.3174738368793482,1.3240004191367085,1.2073990245059771,1.773868331714396e-31,True,True,1.7684102753091208e-29,True
ext_V6_amp18,-1.3006606111527887,-2.1323154278893495,0.02190129451081833,4.872863451794833e-05,False,False,0.00018017777556422548,False
ext_V4_on0_slur,1.2978222611832715,1.7188885736202495,0.8314585523366862,2.3045785742647052e-33,True,True,2.8445084116638647e-31,True
ext_V6_vel12,-1.2892324530945025,-2.0414141734091773,0.016959463331919243,1.8319941874936343e-10,False,False,1.5802092958347753e-09,False
ext_V6_amp12,-1.276693928470873,-2.217586250532195,0.014049432228123295,4.214637720720038e-09,False,False,2.871048875717829e-08,False
med_V3_vel12,1.2695511199825755,2.0956774111862995,0.5285743892799442,1.7989878338922103e-17,True,True,3.962296012460557e-16,True
ext_V6_acc3,-1.2465056936084336,-1.7344179463824696,0.0016122426214679807,0.014756346821317478,False,False,0.031159634183995845,False
ext_V6_PR_min,-1.2134536237707836,-2.231380428318497,0.02226200282149151,1.7401385161962905e-08,False,False,1.0934397658135236e-07,False
ext_V6_PR_rms,1.1961249416604394,1.9696504346957733,-0.020932030323546846,0.02740485119298535,False,False,0.052781824647302154,False
ext_V6_on0_area,1.1960451045559306,2.122558912019097,-0.021228684503245693,0.0009048916966111318,False,False,0.002630935813366297,False
med_V1_on1_slur,1.1923801017538687,0.8544064956528639,1.4956297128168783,1.542801279934836e-22,True,True,5.83786995268773e-21,True
ext_V6_on1_area,1.1899846711206208,1.690714300340597,-0.026114127259659097,0.12140927849204276,False,False,0.19078075165284927,False
ext_I_on0_slur,1.1814294649691686,1.111230393502447,1.222823329472651,2.099451384429091e-31,True,True,2.0535011277132843e-29,True
med_V3_amp14,1.1762933555049353,1.6466449519120483,0.6321333048425689,4.741697487112254e-34,True,True,7.02313136376855e-32,True
med_V6_on0_slur,1.1735598635729578,1.3075922928278574,0.9717331743097857,1.8192087617155327e-38,True,True,8.573434746121202e-36,True
med_AVF_on1_slur,1.1638789355503336,1.3795282999168117,0.9321241807799793,1.718164156161983e-27,True,True,9.681481506025783e-26,True
ext_V6_amp5,1.1615395439543725,1.8235019553353191,0.0036052915970645294,0.17579819376264172,False,False,0.2613529786250458,False
