feature,d,p_raw,ci_excl0,p_FDR,gate
med_V1_on0_slur,2.399407815582547,9.690852393672681e-18,True,1.860643659585155e-15,True
ext_II_vel20,2.197034852945482,0.08786871299299559,False,0.1973967352482251,False
ext_II_amp19,-2.0813116795733624,0.4955737541255878,False,0.6560404344706454,False
med_V2_on0_slur,2.039706778004647,3.675078347026474e-18,True,8.659820977720565e-16,True
ext_V1_on0_slur,1.916552035668107,2.870520620027319e-16,True,3.815584331851698e-14,True
ext_II_acc12,-1.7447408536348845,0.9764258810667178,False,0.9886312045800518,False
med_AVR_on0_slur,1.6474590524292716,5.766595072583562e-20,True,2.729372354072109e-17,True
med_I_on0_slur,1.6303884438790444,6.278126080875757e-18,True,1.3018322241303971e-15,True
med_I_qrswidth_ms,1.5805957705630378,1.7960111138006707e-15,True,1.756702191309939e-13,True
med_V2_on1_slur,1.5668491133078946,1.570233285730854e-13,True,9.576575709680878e-12,True
ext_II_acc11,1.50133889775432,0.2844950444583214,False,0.4601297299571173,False
med_V1_on1_slur,1.495629713970252,2.6938791957243856e-12,True,1.2811990596913042e-10,True
ext_V2_on0_slur,1.487461489055792,8.74139846265909e-14,True,5.526269467124966e-12,True
med_V3_on0_slur,1.4532295090315486,5.889804684140045e-19,True,1.9082967176613749e-16,True
med_AVL_on0_slur,1.412575127948307,3.2289136318615684e-16,True,3.9652246109533595e-14,True
ext_V1_on1_slur,1.3638584382798518,1.4739489614228299e-12,True,7.418399433025194e-11,True
ext_I_qrswidth_ms,1.345418012639615,5.6362179689899565e-14,True,3.652269243905492e-12,True
med_II_on0_slur,1.3048512770558407,2.1594057395289266e-20,True,1.5991941933882794e-17,True
med_III_on0_slur,1.2993386706213874,1.7376283073656734e-16,True,2.434558147400987e-14,True
med_AVL_qrswidth_ms,1.2985526587133889,5.3841084783126395e-12,True,2.345480533745607e-10,True
ext_II_bodyQRS_min,-1.2925895679880894,0.9454845763517982,False,0.9710816333657026,False
ext_II_bodyQRS_rms,1.2866948694855755,0.06450909663684967,False,0.15841551727400696,False
ext_II_bodyQRS_area,-1.2705865891858228,0.7614925336594012,False,0.8574233915052858,False
ext_V3_on0_slur,1.2624859878741794,3.166770681093761e-16,True,3.9652246109533595e-14,True
