feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
pair_corr_II_AVR,1.9992641658790367,2.2846407386592227,1.3243197565308347,3.0950229295900546e-13,True,True,1.7479086328979807e-12,True
med_k_init_rotspeed,-1.728773444937165,-2.0395340604459378,-1.52498605580199,1.2334137107229335e-31,True,True,1.760417750759096e-29,True
med_k_w20_40_path,-1.5797586879816545,-1.668331441248282,-1.4932698335333963,5.904193330853355e-44,True,True,9.269583529439767e-41,True
med_d_traj_x31,1.570763144003064,1.6295172587035398,1.3544458664992176,1.673732108267664e-21,True,True,3.091481658800273e-20,True
med_d_init_rotspeed,-1.5561318974505522,-1.5935330901456606,-1.5177258526989237,1.9603409662410944e-29,True,True,1.7171481617348494e-27,True
med_d_traj_x30,1.5518497285014405,1.522270309657861,1.4297696041040298,1.051429275085585e-23,True,True,2.8960420383936293e-22,True
med_d_traj_x32,1.5488625765393635,1.6940006335380933,1.248128000203277,1.3126141797700685e-19,True,True,1.7920037062947892e-18,True
med_d_traj_x29,1.4872687992575642,1.3832215790785718,1.450496634957083,1.3961302781123437e-25,True,True,5.768222464832578e-24,True
med_d_w20_40_path,-1.4800434190612715,-1.5993633257179398,-1.3509648006484634,1.942605084015432e-41,True,True,1.5249449909521143e-38,True
med_d_traj_x33,1.4173916901270738,1.7032725042154788,0.997265995432247,2.793500943698159e-15,True,True,2.0118332484431695e-14,True
ext_k_w20_40_path,-1.3826053972358305,-1.3298154756194194,-1.4078517164976632,6.857471670641863e-40,True,True,3.5887435076359085e-37,True
med_d_traj_x28,1.3807582195475205,1.2196012225970787,1.4139244123615435,1.2454426224077237e-25,True,True,5.284715992378719e-24,True
med_k_traj_x32,1.3682964701572484,1.427986020934712,1.1159573903116167,2.230577866097738e-16,True,True,1.843161710407078e-15,True
med_k_traj_x31,1.356242021629449,1.3880139266371272,1.1328547627354308,9.183579078129041e-19,True,True,1.0447984893233765e-17,True
ext_k_init_rotspeed,-1.3479111364269574,-1.5639172754178283,-1.2091724956122505,1.9687048988042858e-29,True,True,1.7171481617348494e-27,True
med_d_traj_z23,-1.343282162088483,-1.5258656905749106,-1.2222748234013547,7.504201276202794e-30,True,True,7.363497502273993e-28,True
med_d_traj_z24,-1.3313193769712817,-1.5306048302744155,-1.1929846858537956,2.0871496862228494e-29,True,True,1.724644740720986e-27,True
med_k_traj_x33,1.3289744359309412,1.4112728743302683,1.0693158288067168,4.187977664224508e-12,True,True,2.080735738238126e-11,True
med_d_traj_x34,1.3283798497558092,1.6558881539089927,0.8830599036504636,5.80859349149584e-13,True,True,3.2338623339178966e-12,True
ext_d_w20_40_path,-1.319346330342839,-1.3420084820071232,-1.2683050812991346,4.273505929179884e-37,True,True,1.6773510772031045e-34,True
pair_xpeak_AVR_V2,-1.318500890480702,-2.070964281487111,-1.0378071154540915,2.895645546287812e-20,True,True,4.413750978322199e-19,True
med_d_traj_z22,-1.3177418429806367,-1.4802864323213696,-1.2163496309533117,3.073913880356837e-29,True,True,2.413022396080117e-27,True
ext_d_traj_x31,1.3167641297376038,1.3852638677383275,1.115554787898913,8.220397583535559e-19,True,True,9.420455624927612e-18,True
med_k_traj_x30,1.3155909812277065,1.3109928648636238,1.135867509069385,2.106372300154468e-20,True,True,3.274261892319322e-19,True
ext_d_traj_x30,1.3071394009063995,1.3172311842168205,1.166477509433785,5.493357300172998e-21,True,True,9.273732216421083e-20,True
ext_d_traj_x32,1.292560848550216,1.413785865054217,1.0405348361488402,1.7779594201625697e-16,True,True,1.5088628592730997e-15,True
med_k_traj_x34,1.2913311967460392,1.3671809094419056,1.0521829081415992,4.550464712726381e-10,True,True,1.6929454026019949e-09,True
med_d_traj_z25,-1.2803604905294586,-1.4920841052022449,-1.1280294427042066,5.548130619403965e-28,True,True,3.9164924237948913e-26,True
ext_d_init_rotspeed,-1.2671311104192549,-1.2503985213952322,-1.2857424694503867,3.39477151944689e-27,True,True,1.9034968876898634e-25,True
med_k_qarea_mag,1.2650036769242112,1.089336841875241,1.355057114460066,5.0341340278765175e-23,True,True,1.2747726489945376e-21,True
ext_d_traj_x29,1.2581404910110217,1.21146940455472,1.1800670184021262,9.74326808789967e-22,True,True,1.9121163622503102e-20,True
pair_xpeak_AVR_V3,-1.2544584558017073,-1.5675462270450653,-1.18160539856949,6.266935294071598e-30,True,True,6.559392274461606e-28,True
med_k_traj_x35,1.2483395084060378,1.3096759090342522,1.040001720489924,4.6539836388236485e-08,True,True,1.2955238143533915e-07,True
med_k_traj_z24,-1.2462687415249025,-1.3423557057788305,-1.2157458978924711,1.4876250650579267e-27,True,True,9.34228540856378e-26,True
med_k_traj_x29,1.244288362763864,1.2006456239445156,1.115165057488134,4.594533439496014e-21,True,True,7.926832417592024e-20,True
med_d_traj_x27,1.2429517854281829,1.0430570069535299,1.3262589128008713,3.3885212151768194e-24,True,True,1.0639956615655212e-22,True
med_k_traj_z25,-1.2388077748686024,-1.3426398510105926,-1.1992068605342245,1.9872441472119223e-27,True,True,1.1999897350471992e-25,True
med_d_traj_x35,1.233177090979994,1.5843195446660787,0.782388309517767,2.001999921621978e-10,True,True,7.917228909185152e-10,True
med_k_traj_z23,-1.2105625813663052,-1.2980966865728922,-1.1904858718602385,2.849990297078244e-26,True,True,1.4433821827138203e-24,True
med_k_traj_x36,1.2060807994486942,1.2435320048994059,1.0397368285964812,1.1253157932325242e-06,True,True,2.7648603996479857e-06,True
pair_xpeak_I_AVF,-1.2028899601345047,-1.291650223901695,-0.952418577317168,1.0504463651498247e-17,True,True,1.0779090152191011e-16,True
med_d_vgrad_mag,1.1990457871390483,0.9675893305007364,1.5494106761607436,2.389914184819346e-19,True,True,3.126804391805311e-18,True
med_d_traj_z26,-1.1917215586054148,-1.4118547844587337,-1.028972857711287,1.9976981312379871e-25,True,True,7.8409651651091e-24,True
med_k_traj_z26,-1.188456582100857,-1.2977322761992205,-1.1425862098527118,3.865413494357373e-26,True,True,1.8964684956690864e-24,True
ext_k_traj_x31,1.1825541804572015,1.1185149538491876,1.114632948567908,7.623321432529801e-19,True,True,8.931801976919245e-18,True
pair_xpeak_I_II,-1.1824893268269927,-1.2787043693729625,-0.9963874579974555,5.349233670405405e-14,True,True,3.3459350049946163e-13,True
ext_d_traj_x33,1.1790622448149612,1.368926403374491,0.8714553429244184,2.4877095474264265e-12,True,True,1.2890112176433958e-11,True
ext_d_traj_x28,1.1701660182403082,1.0748233855943246,1.1486228764074773,5.139149393622292e-21,True,True,8.770070160855433e-20,True
ext_k_traj_x32,1.169000948337364,1.1318967688576012,1.0771997023985769,2.34068341655969e-17,True,True,2.2825297913035487e-16,True
med_d_traj_z21,-1.1678033832218415,-1.2864151646875261,-1.108047486234832,2.428833654520737e-25,True,True,9.300655701457456e-24,True
ext_k_traj_x30,1.1635026422917654,1.0718189990920612,1.1226945869102711,1.8048415460711195e-19,True,True,2.4218813908817586e-18,True
med_k_traj_x37,1.1624807009113853,1.1751828951338978,1.0387433046433387,5.2889046550875366e-06,True,True,1.2374933395659362e-05,True
pair_corr_AVR_AVF,1.1610009079634167,1.3775192628130093,0.6921981460884742,5.451826592438476e-14,True,True,3.3965745040192095e-13,True
med_d_traj_x4,1.1607193121240373,1.1124721861847686,1.1629808840208018,4.726328500221416e-31,True,True,6.18361312112302e-29,True
med_k_traj_x5,1.1598973362629954,1.2838475642263754,1.023350086935494,3.2504168651902e-25,True,True,1.1867801112438637e-23,True
med_d_traj_x5,1.1512055311457798,1.1500583608090094,1.1298618583361293,1.664601426602329e-26,True,True,8.711414132552188e-25,True
med_k_traj_x28,1.1423114718697487,1.062303558781135,1.0624229999972223,3.5179788668511654e-20,True,True,5.310795020150317e-19,True
med_d_traj_x36,1.1373042070046149,1.4969758711980536,0.6969091402901201,6.40291560831288e-08,True,True,1.7636100886054776e-07,True
med_k_traj_z22,-1.1346072780575573,-1.2154316361259563,-1.1238274225437086,1.0894804781358957e-23,True,True,2.949110949436821e-22,True
ext_d_traj_z23,-1.1310080488867669,-1.270985781113207,-1.0122839490707307,1.5418944534775714e-25,True,True,6.207113569127659e-24,True
pair_corr_II_V6,-1.1259250506381433,-1.5788639903698125,-0.7812811733546873,5.688010469381473e-09,True,True,1.7763335226579893e-08,True
